iter	Passed	Remaining
0	61	61327
1	61	30788
2	62	20629
3	62	15522
4	62	12460
5	62	10419
6	63	8958
7	63	7864
8	63	7011
9	63	6329
10	64	5771
11	64	5309
12	64	4917
13	65	4579
14	65	4286
15	65	4030
16	65	3804
17	66	3604
18	66	3426
19	66	3265
20	66	3118
21	67	2984
22	67	2863
23	67	2751
24	67	2649
25	68	2554
26	68	2466
27	68	2384
28	68	2308
29	69	2237
30	69	2170
31	69	2108
32	69	2050
33	70	1996
34	70	1945
35	70	1895
36	71	1849
37	71	1805
38	71	1763
39	71	1724
40	72	1688
41	72	1652
42	72	1618
43	72	1585
44	73	1553
45	73	1523
46	73	1495
47	73	1467
48	74	1440
49	74	1415
50	74	1390
51	74	1366
52	75	1343
53	75	1321
54	75	1300
55	75	1279
56	76	1261
57	76	1242
58	76	1223
59	76	1206
60	77	1188
61	77	1172
62	77	1156
63	77	1140
64	78	1125
65	78	1111
66	78	1096
67	78	1080
68	79	1067
69	79	1053
70	79	1041
71	79	1029
72	80	1017
73	80	1005
74	80	993
75	80	982
76	81	971
77	81	961
78	81	951
79	81	941
80	82	931
81	82	921
82	82	912
83	82	902
84	82	892
85	83	883
86	83	873
87	83	865
88	83	857
89	83	849
90	84	841
91	84	834
92	84	826
93	84	819
94	85	812
95	85	804
96	85	797
97	85	790
98	86	784
99	86	777
100	86	771
101	86	763
102	87	758
103	87	752
104	87	746
105	87	740
106	88	734
107	88	729
108	88	723
109	88	718
110	88	712
111	89	707
112	89	702
113	89	697
114	89	692
115	90	686
116	90	681
117	90	677
118	90	672
119	91	667
120	91	663
121	91	659
122	91	653
123	91	649
124	92	644
125	92	640
126	92	636
127	92	631
128	92	627
129	93	623
130	93	619
131	93	615
132	93	611
133	94	607
134	94	604
135	94	600
136	94	597
137	94	593
138	95	589
139	95	586
140	95	582
141	95	579
142	96	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	559
148	97	556
149	97	553
150	97	550
151	98	547
152	98	544
153	98	542
154	98	539
155	99	536
156	99	533
157	99	531
158	99	528
159	100	525
160	100	522
161	100	520
162	100	517
163	101	515
164	101	512
165	101	510
166	101	507
167	101	505
168	102	502
169	102	500
170	103	502
171	103	500
172	104	497
173	104	495
174	104	492
175	104	490
176	105	488
177	105	486
178	105	484
179	105	481
180	105	479
181	106	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	107	460
190	108	458
191	108	456
192	108	454
193	108	452
194	109	450
195	109	448
196	109	446
197	109	444
198	109	442
199	110	440
200	110	438
201	110	437
202	110	435
203	111	433
204	111	431
205	111	429
206	111	428
207	111	426
208	112	424
209	112	423
210	112	421
211	112	419
212	113	418
213	113	416
214	113	414
215	113	413
216	114	411
217	114	409
218	114	408
219	114	406
220	114	405
221	115	403
222	115	402
223	115	400
224	115	399
225	116	397
226	116	396
227	116	394
228	116	393
229	117	391
230	117	390
231	117	388
232	117	387
233	117	386
234	118	384
235	118	383
236	118	381
237	118	380
238	119	379
239	119	378
240	119	376
241	119	375
242	120	374
243	120	372
244	120	371
245	120	370
246	121	368
247	121	367
248	121	366
249	121	365
250	122	364
251	122	363
252	122	361
253	122	360
254	123	359
255	123	358
256	123	357
257	123	355
258	123	354
259	124	353
260	124	352
261	124	351
262	124	350
263	125	348
264	125	347
265	125	346
266	125	345
267	126	344
268	126	343
269	126	342
270	126	341
271	127	340
272	127	339
273	127	338
274	127	337
275	128	335
276	128	334
277	128	333
278	128	332
279	129	331
280	129	330
281	129	329
282	129	328
283	129	327
284	130	326
285	130	325
286	130	324
287	130	323
288	131	322
289	131	321
290	131	320
291	131	319
292	132	319
293	132	318
294	132	317
295	133	316
296	133	315
297	133	314
298	133	314
299	134	313
300	134	312
301	134	311
302	135	310
303	135	310
304	135	309
305	135	308
306	136	307
307	136	306
308	136	305
309	136	304
310	137	303
311	137	302
312	137	301
313	137	300
314	137	299
