iter	Passed	Remaining
0	59	59677
1	60	29955
2	60	20057
3	60	15100
4	60	12116
5	61	10144
6	61	8736
7	61	7672
8	62	6909
9	63	6239
10	63	5689
11	63	5232
12	63	4855
13	64	4523
14	64	4234
15	64	3981
16	64	3757
17	65	3558
18	65	3379
19	65	3219
20	66	3079
21	66	2947
22	66	2826
23	66	2715
24	67	2615
25	67	2521
26	67	2433
27	67	2354
28	68	2279
29	68	2210
30	68	2147
31	68	2085
32	69	2027
33	69	1971
34	69	1920
35	69	1874
36	70	1827
37	70	1783
38	70	1742
39	70	1703
40	71	1665
41	71	1629
42	71	1595
43	71	1562
44	72	1531
45	72	1502
46	72	1473
47	72	1446
48	73	1420
49	73	1394
50	73	1370
51	73	1347
52	74	1324
53	74	1302
54	74	1282
55	74	1261
56	75	1242
57	75	1223
58	75	1205
59	75	1187
60	76	1170
61	76	1154
62	76	1139
63	76	1124
64	77	1108
65	77	1094
66	77	1080
67	77	1066
68	78	1052
69	78	1039
70	78	1026
71	78	1014
72	78	1002
73	79	990
74	79	978
75	79	967
76	79	957
77	80	946
78	80	936
79	80	926
80	80	917
81	81	907
82	81	897
83	81	888
84	81	879
85	81	870
86	82	862
87	82	855
88	82	847
89	83	840
90	83	832
91	83	824
92	83	817
93	84	810
94	84	804
95	84	797
96	84	791
97	85	785
98	85	779
99	85	773
100	86	766
101	86	760
102	86	754
103	86	747
104	87	742
105	87	736
106	87	730
107	87	725
108	88	719
109	88	714
110	88	708
111	88	703
112	88	698
113	89	693
114	89	688
115	89	683
116	89	677
117	90	673
118	90	668
119	90	663
120	90	659
121	90	654
122	91	649
123	91	646
124	91	641
125	91	637
126	92	632
127	92	628
128	92	624
129	92	620
130	92	616
131	93	613
132	93	609
133	93	605
134	94	602
135	94	599
136	94	595
137	94	592
138	95	588
139	95	585
140	95	582
141	95	578
142	95	574
143	96	571
144	96	568
145	96	565
146	96	562
147	97	559
148	97	556
149	97	553
150	97	550
151	98	547
152	98	544
153	98	541
154	98	538
155	99	536
156	99	533
157	99	530
158	99	528
159	100	525
160	100	522
161	100	520
162	100	517
163	101	514
164	102	516
165	102	513
166	102	511
167	102	508
168	102	506
169	103	503
170	103	501
171	103	499
172	103	496
173	104	494
174	104	492
175	104	489
176	104	487
177	105	485
178	105	483
179	105	481
180	105	479
181	106	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	108	460
190	108	458
191	108	457
192	108	455
193	109	453
194	109	451
195	109	449
196	109	447
197	110	445
198	110	444
199	110	442
200	110	440
201	111	438
202	111	436
203	111	435
204	111	433
205	112	431
206	112	430
207	112	428
